"year","month","x","y"
1992,3,423,49.9211471677728
1992,4,424,54.2409722222222
1992,5,425,42.8510752688172
1992,6,426,44.9988888888889
1992,7,427,34.5647849462366
1992,8,428,29.2135752688172
1992,9,429,24.5750905797101
1992,10,430,23.7767390616836
1992,11,431,28.8259722222222
1992,12,432,31.5899193548387
1993,1,433,40.6699859747546
1993,2,434,40.7625
1993,3,435,46.1860215053763
1993,4,436,58.3455555555556
1993,5,437,51.5374415614773
1993,6,438,46.9343390804598
1993,7,439,34.2361290322581
1993,8,440,28.3022849462366
1993,9,441,24.4105372971409
1993,10,442,32.0398582600195
1993,11,443,40.7545795284176
1993,12,444,37.7174088359046
1994,1,445,41.6029569892473
1994,2,446,36.1968769029351
1994,3,447,45.0781998731274
1994,4,448,53.1339772727273
1994,5,449,44.9708173955544
1994,6,450,32.7457487922705
1994,7,451,29.2495583717358
1994,8,452,28.1809139784946
1994,9,453,30.808942687747
1994,10,454,38.4008064516129
1994,11,455,38.5113586956522
1994,12,456,44.9993279569892
1995,1,457,33.2264583333333
1995,2,458,39.509375
1995,3,459,49.2444440902716
1995,4,460,48.4210119047619
1995,5,461,47.157123655914
1995,6,462,41.4801388888889
1995,7,463,31.1299205236092
1995,8,464,38.9483870967742
1995,9,465,37.4419065656566
1995,10,466,34.8810483870968
1995,11,467,28.8667512077295
1995,12,468,33.8108403459561
1996,1,469,37.6587365591398
1996,2,470,37.7596264367816
1996,3,471,47.930376344086
1996,4,472,53.2748611111111
1996,5,473,41.6682795698925
1996,6,474,34.8244495540691
1996,7,475,35.6415591397849
1996,8,476,36.6872222222222
1996,9,477,29.5911111111111
1996,10,478,33.1698924731183
1996,11,479,29.362856773144
1996,12,480,37.5628621958121
1997,1,481,41.563875711575
1997,2,482,44.6684670781893
1997,3,483,34.3381144393241
1997,4,484,54.0291666666667
1997,5,485,46.0516129032258
1997,6,486,41.7856944444444
1997,7,487,33.5082924263675
1997,8,488,29.2190881642512
1997,9,489,33.4450533661741
1997,10,490,38.8130376344086
1997,11,491,35.9358333333333
1997,12,492,46.8997311827957
1998,1,493,46.5679581580178
1998,2,494,44.0045744400527
1998,3,495,53.0700845410628
1998,4,496,54.7975
1998,5,497,52.2788978494624
1998,6,498,42.8851388888889
1998,7,499,42.232123655914
1998,8,500,35.2274193548387
1998,9,501,41.1386111111111
1998,10,502,35.1610019112834
1998,11,503,35.1588614404919
1998,12,504,41.5308087891538
1999,1,505,41.5493279569892
1999,2,506,46.469494047619
1999,3,507,47.3777582982702
1999,4,508,51.3457756835868
1999,5,509,41.080665125582
1999,6,510,41.0388957307061
1999,7,511,43.967968269653
1999,8,512,33.6780913978495
1999,9,513,41.6740277777778
1999,10,514,37.1744623655914
1999,11,515,37.4011111111111
1999,12,516,34.7918010752688
2000,1,517,39.5912058371736
2000,2,518,41.3184020002985
2000,3,519,44.4700268817204
2000,4,520,50.5594444444444
2000,5,521,39.4239247311828
2000,6,522,40.3201388888889
2000,7,523,33.4661290322581
2000,8,524,34.2095588235294
2000,10,526,31.1993421052632
2000,11,527,32.8188888888889
2000,12,528,38.7213475923329
2001,1,529,38.8471774193548
2001,2,530,37.8134575569358
2001,3,531,46.7256720430108
2001,4,532,46.5534722222222
2001,5,533,42.9969444444444
2001,6,534,33.7280555555556
2001,7,535,32.0341666666667
2001,8,536,36.6097768364592
2001,9,537,31.1769444444444
2001,10,538,37.365972629521
2001,11,539,34.8282185990338
2001,12,540,41.0509408602151
2002,1,541,41.7678789444605
2002,2,542,44.1261645962733
2002,3,543,42.7145161290323
2002,4,544,45.5357246376812
2002,6,546,40.6878701953371
2002,7,547,35.3542601683029
2002,8,548,35.1003623188406
2002,9,549,35.8077777777778
2002,10,550,42.761342917251
2002,11,551,45.1094444444444
2002,12,552,46.0123546743112
2003,1,553,47.0315776611617
2003,2,554,48.4860510651629
2003,3,555,49.945405982906
2003,4,556,51.2521893274854
2003,5,557,45.3612903225806
2003,6,558,40.5921527777778
2003,7,559,41.0097657718625
2003,9,561,37.8202475845411
2003,10,562,40.0748655913979
2003,11,563,43.3226449275362
2003,12,564,37.2696528751753
2004,1,565,39.1962365591398
2004,2,566,37.7538105947026
2004,3,567,41.5464878447873
2004,4,568,46.3124396135266
2004,5,569,39.7375
2004,6,570,35.5820833333333
2004,7,571,38.1009572845156
2004,8,572,36.3197580645161
2004,9,573,37.4427657004831
2004,10,574,36.1404166666667
2004,11,575,38.0690640096618
2004,12,576,43.8899193548387
2005,1,577,43.344623655914
2005,2,578,46.6745
2005,3,579,48.392852968677
2005,4,580,57.1913526570048
2005,5,581,48.2681451612903
2005,6,582,45.01875
2005,7,583,37.1643817204301
2005,8,584,35.1725537634409
2005,9,585,34.1588888888889
2005,10,586,41.6540603085554
2005,11,587,38.7865277777778
2005,12,588,41.005376344086
2006,1,589,44.9474462365591
2006,2,590,43.2325892857143
2006,3,591,34.4395161290323
2006,4,592,55.9177777777778
2006,5,593,48.6993279569893
2006,6,594,43.5590277777778
2006,7,595,40.4586839644694
2006,8,596,30.6666666666667
2006,9,597,30.8490277777778
2006,10,598,30.16045936853
2006,11,599,33.0170833333333
2006,12,600,44.4751344086022
2007,1,601,41.8336111111111
2007,2,602,43.1541666666667
2007,3,603,46.0155913978495
2007,4,604,58.5208333333333
2007,5,605,46.9172311827957
2007,6,606,40.5740277777778
2007,7,607,37.7315860215054
2007,8,608,36.4263440860215
2007,9,609,34.4247222222222
2007,10,610,41.9185483870968
2007,11,611,36.8193055555556
2007,12,612,35.4785297418631
2008,1,613,42.047383252818
2008,2,614,36.5280459770115
2008,3,615,36.3367286115007
2008,4,616,40.2180555555556
2008,5,617,43.0284722222222
2008,6,618,38.8323888888889
2008,7,619,36.1187365591398
2008,8,620,36.739880952381
2008,9,621,36.4751349206349
2008,10,622,39.3161545327043
2008,11,623,34.6447222222222
2008,12,624,33.8302419354839
2009,1,625,40.5956346423562
2009,2,626,40.7114583333333
2009,3,627,45.2094012204424
2009,4,628,48.0796179183136
2009,5,629,45.218614359974
2009,6,630,42.3123248792271
2009,7,631,34.3428888888889
2009,8,632,33.2502183161666
2009,9,633,37.2259619047619
2009,10,634,33.515854978355
2009,11,635,39.1070820393375
2009,12,636,48.6059139784946
2010,1,637,40.7729452939534
2010,2,638,47.2839411332715
2010,3,639,52.3104274538867
2010,4,640,52.8339288239538
2010,5,641,57.3414460270912
2010,6,642,44.3884338023088
2010,7,643,46.2549073104315
2010,8,644,45.1617516681542
2010,9,645,43.2809834211682
2010,10,646,41.1664116773829
2010,11,647,41.3635002278423
2010,12,648,32.3027999213519
2011,1,649,41.0766119469591
2011,2,650,32.911749764728
